Wall time,Step,Value
1559699797.2890687,0,12.435992240905762
1559702341.0189154,1,18.378080368041992
1559704884.9072063,2,5.607315540313721
1559707428.1537523,3,4.632654666900635
1559709970.5847633,4,4.576080322265625
1559712513.3568232,5,4.5680437088012695
1559715055.5644317,6,4.564014911651611
1559717598.1741922,7,4.560193061828613
1559720141.4021325,8,4.411177635192871
1559722683.76097,9,4.359578609466553
1559725225.429107,10,4.340968132019043
1559727805.2854955,11,4.330602169036865
1559730349.2488227,12,4.327739238739014
1559732889.6523473,13,4.322051048278809
1559735566.3072405,14,4.322056770324707
1559738110.8336492,15,4.187679290771484
1559740670.5410988,16,4.147404193878174
1559743250.537881,17,4.126856803894043
1559745792.9884102,18,4.122152805328369
1559748335.451559,19,4.1136627197265625
1559750891.8085337,20,4.114738464355469
1559753448.523732,21,4.111562728881836
1559756019.5171287,22,4.111495494842529
1559758598.7729588,23,4.029581546783447
1559761149.1545148,24,4.0053324699401855
1559763756.9506774,25,3.9883124828338623
1559766300.1327524,26,3.9826531410217285
1559768852.6911268,27,3.970503568649292
1559771395.821682,28,3.966110944747925
1559773945.0529425,29,3.9541561603546143
